country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,36.1,,,,,,40.4,,,39.2,,,39,,,,37.8,,,,,
Algeria,,,,,,,,,,47.2,,,,,,,42.6,,,,,,,,,,,,,,,,37.2,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,56.1,,,,,,,,48.5,,,,,,,,,
Argentina,,46.6,,,,,,48.4,50.5,,,,52.4,50.9,49.9,51,53.8,54,53.7,55.1,54.2,55.1,57,57.8,54.5,52.3,51.7,50.7,50.5,48.8,48.2,48,47.4,46.3,46,46.6,,47.6,
Armenia,,,,,,,,,,,,,,,,,,,,,44.2,,43.9,43.5,42.2,45.8,44.7,38.8,40,38.4,37.5,39.4,38.6,38.7,39.4,40.1,40.7,40.2,
Australia,,,39.2,,,,40.2,,,,40.6,,,,,,40.4,,,,,,40.9,,40.9,,,,,42.7,,42,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,38,38.5,37.5,38.3,38.7,38.6,39.3,38.4,38.7,38.4,38.9,38.6,38.4,,
Azerbaijan,,,,,,,,,,,,,,,,,42,,,,,,44.5,30.3,31,29.7,30.2,,,,,,,,,,,,
Bangladesh,,,,,35.8,,37.2,,,38.6,,,37.4,,,,42.4,,,,,42.7,,,,,42.5,,,,,41.5,,,,,,41.4,
Belarus,,,,,,,,,,,,,,,,,,,,40.1,39.4,39.1,38.9,38.8,37.6,35.9,36.5,37.1,38.4,36.8,37,37.5,36.3,36.1,36.2,36.7,36.4,36.9,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,37,39.1,38.2,36.9,38,37.2,37.2,37.2,36.8,36.4,36.4,36.9,36.5,,
Belize,,,,,,,,,,,,,,,64.3,65.4,,61.3,64.1,59.3,57.7,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,,,50.7,,,,52.1,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,47.9,,,,45.1,,,,,46.1,,,,,44.4
Bolivia,,,,,,,,,,,,48.2,,,,,,,61.7,,60.5,64.2,60.6,62.4,,59.5,62,60.1,58.7,54.8,53.2,,50.6,50.6,51.9,52.3,51.1,49,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,38.8,,,41.8,,,40.7,,,,40.7,,,,40.5,,
Botswana,,,,,,,58.9,,,,,,,,64.9,,,,,,,,,69.5,,,,,,,65,,,,,,,,
Brazil,,,62.3,62.7,63.4,62.9,60,62.8,63.7,65.5,67.3,64.6,,57.1,64.3,,63.8,63.9,63.8,63.8,63.3,,62.5,62.4,61.8,60.8,60.7,60.1,59.3,58.6,58.2,,57.5,57.2,57.4,56.3,56.1,,
Bulgaria,,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,41.7,43,41,40.9,42.2,41.1,42.7,42.8,43.9,,,
Burkina Faso,,,,,,,,,,,,,,,,55,,,,56.6,,,,,49.8,,,,,,47.1,,,,,44.3,,,
Burundi,,,,,,,,,,,,,,41.6,,,,,,48,,,,,,,,42.9,,,,,,,46.3,,,,
Cameroon,,,,,,,,,,,,,,,,,,51.7,,,,,49,,,,,,49.1,,,,,,,51.7,,,
Canada,,,39.9,,,,,,39.3,,,,38.9,,,39.1,,,39.2,40.5,,40.6,,,,40.9,,,41.2,,,40.9,,,40.7,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,53.3,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,65,,,,,,,,,,,49.4,,,,,60.9,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,48.8,,,,,,
Chile,,,,,,,,,61.4,,,62.5,,60.1,,61.5,,60.1,,60.7,,58,,,56.8,,,54,,,54.8,,53.8,,53.7,,53.6,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,47.9,,,,,
Colombia,,,,,,,,,,,,,,56.7,,,,60.8,,,62.4,62.2,61.2,60.4,58.4,59.9,58.8,,,59.7,58.9,59.4,58.3,57.4,57.5,57.5,55.9,55.7,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,61.4,,,,,,,,,50.4,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,,,,48.4,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,,,,,,53.7,,,,,,
Costa Rica,,,51.4,,,,,39.6,,,50.6,49.6,50.9,50.3,50.6,51.5,50.4,51.2,50.6,50.8,52.6,52.1,56.2,56.8,54,53.3,52.8,54.9,55,54.2,55.9,53.8,54,53.9,54.5,53.9,53.9,54,
Cote d'Ivoire,,,,,,,51.3,45.4,47.6,43.9,,,,45.8,,,47.6,,,46.2,,,,48.5,,,,,,49,,,,,,,47.8,,
Croatia,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,39.7,39.4,39.2,39.4,39.1,39.1,38.4,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,39,39.3,40.1,40,40.6,40.7,40.4,41.3,42.7,45.1,43.6,42.1,,
Czech Republic,,,,,,,,,,,,,,,37.2,,,36.2,,,,,,,,37,36.7,36.5,36.2,36.5,36.2,36.4,36.2,36.1,36.4,36,35.9,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,35.4,34.9,35.1,35.8,36.1,35.2,36.1,36.7,36.8,37.3,37.9,37.7,37.7,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,,50.3,50,,,,
Dominican Republic,,,,,,,,52.4,,,55.5,,,56.5,,,,52.7,53.7,,,56.6,55.6,54.6,57,57.1,55.2,56.9,54.1,53.4,54.2,52.5,52.9,51.5,53,50,50.6,51.1,
Ecuador,,,,,,,,,54.4,,,,,,,57.9,,,,54.8,62.5,60.7,,,57.9,58.3,57.5,56.9,58,54.6,53.5,53.9,51,51.1,52.2,50.6,51.3,50.5,
Egypt,,,,,,,,,,,,41.1,,,,,39.9,,,,42.1,,,,,41.4,,,,40.8,,41.2,,39.8,,,41.5,,
El Salvador,,,,,,,,,,,,,57.6,,,,54.5,55.5,,57.5,55.7,55.8,55.5,55.7,54.1,52.3,53.2,51.3,51.2,52.5,51.6,49.4,48.7,48.2,49.6,48,47.2,46.4,
Estonia,,,,,,,,,,,,,,,46.3,,,,,,,,,,44.1,41.2,41.3,41.7,39.3,40,39.6,39.7,40.2,40.7,42.4,42.1,40.4,,
Ethiopia,,,,,,,,,,,,,,,,,51.6,,,,39.4,,,,,39.3,,,,,,41.7,,,,,46.7,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,,,47.8,,,,,44.7,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,37.2,37.4,37.2,37.3,37.6,37.2,36.9,37,37.1,36.7,36.6,36.4,36.7,,
France,,,,,,,,,,,,,,,,,,,,,,,,,39.8,39.2,38.5,38.3,40.9,41.2,40.7,41.8,41.4,41.3,40.9,40.6,40.9,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,,,,,,,44.4
Gambia,,,,,,,,,,,,,,,,,,,,53.9,,,,,52.8,,,,,,,49.8,,,,,43.6,,
Georgia,,,,,,,,,,,,,,,,,,43.6,46.1,46.6,45.9,46.2,45.8,43.9,43.2,42.7,43.6,43.4,44.6,44.5,44.5,46,45.6,45.2,44.8,44.1,43.4,43.6,
Germany,,,,,,,,,,,,,38,,,37.8,,,,,,37.7,39.1,,,39.1,,39.8,39.9,,,38.8,39.1,,39.5,,39.7,,
Ghana,,,,,,,,,42.7,43.4,,,45.6,,,,,,,46.2,,,,,,,48.6,,,,,,,48.3,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,39.9,40.7,41.7,42,41.1,40.9,40.9,41,41,42.1,42.1,41.8,41.8,,
Guatemala,,,,,,,,62,,,62.9,,,,,,,,,,,59.2,,,,,,58.9,,,,,,,,53.6,,,
Guinea,,,,,,,,,,,,,50.2,,,52,,,,,,,,49.4,,,,,46.3,,,,,41.5,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,49.7,,,,,,,,,43.2,,,,,,,,56.7,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,49.6,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1,,,,,
Honduras,,,,,,,,,,,63.3,61.2,56.7,56.9,58,59.3,59.8,59.6,57.2,60.8,59,,58.8,59.4,61.7,61.8,62.9,60.8,60,59.2,55.4,57.1,60.2,59.9,56.7,55.1,54,54.2,
Hungary,,,,,,,,,32.4,,35.6,,,,37.9,,,,,,,,,,,38.4,42.2,37.1,36.7,36.4,35.9,37.7,37.6,38.6,39.3,38.7,38.4,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,36.6,37.7,38.5,39.5,38.9,40.8,38.1,36,36.2,36.3,35.3,37.3,,,
