country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
El Salvador,,,,,,,,,,,,,2.6,,,,3.7,3.5,,2,2.5,3.2,3.1,3,2.8,3.7,3.8,4.8,5.2,4.6,4.9,5.1,5.6,5.7,5.5,5.8,6.1,5.9,
Estonia,,,,,,,,,,,,,,,6.4,,,,,,,,,,6.1,7.1,7.4,7.6,8,7.8,7.7,7.2,7.3,7.3,6.8,7,7.5,,
Ethiopia,,,,,,,,,,,,,,,,,6.3,,,,9.1,,,,,9.4,,,,,,8,,,,,6.6,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,6.6,,,,,7.5,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,9.4,9.4,9.5,9.3,9.2,9.3,9.3,9.2,9.3,9.4,9.3,9.4,9.4,,
France,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,8.6,8.5,8.1,7.9,7.7,7.7,7.8,7.9,8,8,7.9,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,6
Gambia,,,,,,,,,,,,,,,,,,,,4.3,,,,,4.8,,,,,,,5.7,,,,,7.4,,
Georgia,,,,,,,,,,,,,,,,,,6.1,5.1,5.2,5.4,5.4,5.8,6.3,6.3,6.2,6.1,6.3,6.1,6,6.1,5.6,5.6,6,6.2,6.4,6.8,6.7,
Germany,,,,,,,,,,,,,8.8,,,8.5,,,,,,8.8,8.6,,,8.5,,8.3,8.3,,,8.4,8.5,,8.2,,7.8,,
Ghana,,,,,,,,,7,7,,,6.6,,,,,,,5.8,,,,,,,5.2,,,,,,,5.4,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,7.2,7.1,6.9,6.7,7,7.1,7,6.7,6.1,5.8,5.9,5.9,5.9,,
Guatemala,,,,,,,,2.8,,,2.1,,,,,,,,,,,3.5,,,,,,3.2,,,,,,,,4.5,,,
Guinea,,,,,,,,,,,,,3,,,5.2,,,,,,,,5.8,,,,,6.3,,,,,7.6,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,5.6,,,,,,,,,7.2,,,,,,,,4.5,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
Honduras,,,,,,,,,,,2.8,2.8,3.7,3.9,3.6,3.1,3.1,2.9,3.5,2.1,2.3,,2.6,2.6,2.3,2.3,1.9,2.1,2.8,2.7,3.3,3.1,2.7,2.8,3.2,3.6,3.6,3.2,
Hungary,,,,,,,,,11.4,,10.4,,,,9.7,,,,,,,,,,,8.3,7.1,8.7,8.7,8.8,8.9,8.2,8.1,7.6,7.6,7.6,7.8,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.4,9.2,8.9,9.1,8.6,9.1,9.5,9.3,9.3,9.9,9.4,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,
Iran,,,,,,,,4.6,,,,5.2,,,,5.5,,,,5.2,,,,,,,5.3,5,,,5.3,,,,6.8,6.3,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,8.8,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.6,7.7,7.9,8.2,8.2,7.7,7.6,7.5,7.5,7.3,7.9,8,,
Israel,6.7,,,,,,,6.5,,,,,,6.9,,,,,6.1,,,,5.9,,,,4.9,,5,,,4.7,,4.7,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.9,6.8,6.9,7.1,6.9,6.7,6.4,6.4,6.3,6.2,6.2,5.9,,
Jamaica,,,,,,,,,,5.4,,6.1,,,6.8,,,6.4,,,5.5,,,4.8,,5.3,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,
Jordan,,,,,,,,7.3,,,,,,6,,,,,7.6,,,,,7.2,,,,8,,8.4,,8.2,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,6.9,,,,,6.7,7.3,7.5,8.2,5.9,8.9,8.9,9.4,9.4,9.5,9.5,9.4,9.8,9.8,10,,
Kenya,,,,,,,,,,,,,,3.4,,5.2,,,5.6,,,,,,,,5,,,,,,,,,,6.2,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,4.3,,8.6,8.8,8.6,9.3,7.7,8.4,7.3,7.6,8.4,9.1,8.7,9.7,9.6,9.3,10,9.5,10,
Lao,,,,,,,,,,,,,,8.2,,,,,8.1,,,,,8.6,,,,,8,,,,,7.6,,,,,
Latvia,,,,,,,,,,,,,,,9.6,,8,7.7,,,,,,,,6.5,5.9,6.8,6.4,6.1,5.9,6.2,6.4,6.5,6.5,6.6,7.1,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,
Lesotho,,,,,,,,2.9,,,,,,,,1.5,,,,,,,,3,,,,,,,,2.8,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,7.7,,,
